City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,san luis de la loma,17.2706,-100.8939,27.31,76,3,2.1,MX,1718155610
223,zigong,29.3416,104.7769,24.59,73,100,0.84,CN,1718155610
224,al hayy,32.1735,46.0433,32.38,18,0,3.78,IQ,1718155610
225,kirakira,-10.4544,161.9205,29.03,77,36,0.83,SB,1718155610
226,valley city,46.9233,-98.0032,24.29,46,0,4.12,US,1718155610
227,cockburn town,21.4612,-71.1419,27.9,88,100,8.71,TC,1718155610
228,senillosa,-39.0,-68.4167,9.88,76,100,0.84,AR,1718155610
229,kavaratti,10.5669,72.642,28.42,81,100,7.02,IN,1718155610
230,yoakum,29.2878,-97.1519,27.91,55,37,7.49,US,1718155610
231,vorgashor,67.5833,63.95,5.45,69,100,3.23,RU,1718155610
232,carnarvon,-24.8667,113.6333,19.25,86,100,2.45,AU,1718155610
233,port douglas,-16.4833,145.4667,23.0,61,9,1.59,AU,1718155610
234,pacasmayo,-7.4006,-79.5714,18.44,84,100,4.27,PE,1718155610
235,lorengau,-2.0226,147.2712,29.19,75,98,1.22,PG,1718155610
236,kolonia,50.9333,6.95,9.97,84,0,1.54,DE,1718155536
237,tshabong,-26.05,22.45,10.47,39,46,5.56,BW,1718155610
238,champerico,14.3,-91.9167,27.81,80,60,4.17,GT,1718155610
239,kristiansund,63.1115,7.732,8.03,87,100,3.09,NO,1718155610
240,magadan,59.5667,150.8,13.07,72,98,2.66,RU,1718155611
241,trairi,-3.2778,-39.2689,24.53,91,5,2.58,BR,1718155413
242,porec,45.2258,13.5939,19.99,87,100,5.19,HR,1718155611
243,urangan,-25.3,152.9,19.64,49,0,4.86,AU,1718155378
244,archangelos,36.2149,28.1149,23.99,38,0,2.85,GR,1718155611
245,carbonear,47.7332,-53.2148,15.97,83,100,3.51,CA,1718155611
246,morinville,53.8001,-113.652,13.78,89,100,7.2,CA,1718155611
